Agency,Category,Facility or Program Type,Families with Children,Adult Families,Total Families,Total Adults in Families,Total Children,Single Men,Single Women,Runaway and Homeless Youth,Anyone of Another Gender,Total Single Adults,Total Adults,Total,Data Period,Data Period Notes
Mayor's Office of Criminal Justice (MOCJ),Total number of individuals utilizing city-administered facilities,Short-term reentry housing,10,,,,,618,97,NA,,715,,,202305,
Mayor's Office of Criminal Justice (MOCJ),Total number of facilities,Short-term reentry housing,,,,,,,,,,,,17,202305,
Department of Health and Mental Hygeine (DOHMH),Total number of individuals utilizing city-administered facilities,Justice-informed supportive housing (JISH),,,,,,NA,NA,,,104,,,202305,
Department of Health and Mental Hygeine (DOHMH),Total number of facilities,Justice-informed supportive housing (JISH),,,,,,,,,,,,120,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities,218,170,388,896,451,275,119,NA,<10,395,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency facilities: Family Living Center (HPD Shelter),207,<10,208,458,429,0,<10,,0,<10,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Single Room Occupancy Hotel),0,163,163,396,0,268,116,,0,385,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities: American Red Cross,11,<10,17,40,22,<10,<10,,0,<10,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202305,There were no Emergency Procurement Hotel Contracts in the reporting month
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities,271,197,468,1082,557,324,133,N/A,<10,458,,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency facilities: Family Living Center (HPD Shelter),216,<10,217,476,444,0,<10,,0,<10,478,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Single Room Occupancy Hotel),0,168,168,407,0,279,117,,<10,397,804,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities: American Red Cross,55,28,83,199,113,45,14,,0,59,258,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202305,There were no Emergency Procurement Hotel Contracts in the reporting month
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities,277,388,324,,,511,403,NA,109,479,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency facilities: Family Living Center (HPD Shelter),346,49,344,,,0,211,NA,0,211,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Single Room Occupancy Hotel),0,453,453,,,593,454,NA,109,551,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities: American Red Cross,<10,10,<10,,,<10,<10,NA,0,<10,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,There were no Emergency Procurement Hotel Contracts in the reporting month
Housing Preservation and Development (HPD),Total number of facilities,HPD-administered facilities,,,,,,,,,,,,19,202305,
Department of Youth and Community Development (DYCD),Average daily overnight census,DYCD-administered facilities,17,NA,17,14,17,314,286,43,<10,,,684,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered facilities,27,NA,27,20,27,908,862,166,14,1784,,1997,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered crisis services programs,15,NA,15,10,15,157,161,50,<10,320,,395,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered drop-in centers,0,NA,0,0,0,627,569,93,<10,1204,,1297,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered transitional independent living support programs,12,NA,12,10,12,204,185,37,<10,393,,452,202305,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered crisis services programs,39,NA,39,46,,45,39,43,63,42,,42,202305,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered transitional independent living support programs,385,NA,385,391,,152,99,211,0,128,,149,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,Number of individuals who are on wait-list - DYCD-administered facilities,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered crisis services programs,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered drop-in centers,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered transitional independent living support programs,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Total number of facilities,DYCD-administered facilities,,,,,,,,,,,,53,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS-administered facilities,15487,3041,18528,30770,26346,18161,4644,,18,22823,,,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS safe havens,,,,,,1296,228,,1,1525,,,202305,
